"","Symbol","Last","% Change","Day Range","Low","High","Volume","Bid","Ask","Year Range","Year Low","Year High","Prev. Close","Market Cap","P/E","Beta","% MTD","% YTD"
"","AMGN","248.39","0.016106301590501637","3792793730.7952704","246.29","249.64","3461117","245","252","12751972.002119998","198.64","258.45","248.35","132668570000","21.05","0.6584","0.3717622338061055","10.410276925812333"
"","AMZN","143.31","1.898464163822533","406196688.68285763","140.12","143.59","47643484","143.31","143.5","2734303.0963792503","101.26","188.10725","140.64","1432784064000","125.86","0.6561","6.372730640978164","-13.896003406971092"
"","ANSS","283.2","1.092310987363465","6392723082.932987","281.32","285.05","511660","270","293","26609010.615615994","225.92","413.89","280.14","24369406600","53.75","1.2374","2.0000716871572344","-29.056142800159556"
"","ASML","576","2.416386621859501","105411963562.90382","563.04","577.97","811553","556.16","585","212945908.528276","412.67","895.93","562.41","226426266000","35.69","1.3015","0.26460552886289346","-27.655939910066063"
"","ATVI","80.64","0.1614706247671016","42480571.45388094","80.69","80.94","5822970","80.5","81","395964.71640000003","56.4","86.9","80.51","62983536600","33.61","0.5787","1.050656660412752","21.433939576131067"
"","AVGO","558.23","2.3467722714188843","92803202161.17506","545.84","558.4","1840020","548","559.2","175045544.07436803","462.66","677.76","545.43","220254451700","27.04","1.3251","4.248524688130284","-16.10736237808268"
"","AZN","66.82","3.356535189481802","18737591.461201202","64.73","67.19","11384325","66.66","66.82","256248.85944","53.63","71.7","64.65","200349057000","","0.5832","0.6190548089989312","14.403433476394856"
"","BIDU","140.17","0.5667958100157744","371433953.7523138","135.21","140.42","1308622","135.01","140.8","2604406.631217601","101.6166","182.6","139.38","39530676800","","0.9756","2.7751336311049535","-5.6657033402782275"
"","BIIB","220.99","1.2693611951241968","2341660405.022077","218.58","222.15","768989","211.77","224.79","14553101.448424","187.16","351.86","218.22","31666558900","15.58","0.7683","2.757370036268947","-7.890130043347776"
"","BKNG","2120.98","2.772609218126121","19252137896102.004","2071.74","2122.99","329721","2025","2167","9615165605.19511","1669.34","2715.66","2063.76","83836741600","55.02","1.1401","9.572297217013048","-11.597470855232716"
"","CDNS","188.58","1.1966729272873788","1245508581.19688","187","189.28","1805929","188.22","189.68","4814617.487415","132.315","192.7","186.35","51035674500","66.62","1.2211","1.4778589853826407","1.3308290850550186"
