,constituents,symbol
1000,KNTE,^RUT
1001,KNTK,^RUT
1002,KOD,^RUT
1003,KODK,^RUT
1004,KOP,^RUT
1005,KORE,^RUT
1006,KOS,^RUT
1007,KPTI,^RUT
1008,KREF,^RUT
1009,KRG,^RUT
1010,KRNY,^RUT
1011,KRO,^RUT
1012,KRON,^RUT
1013,KROS,^RUT
1014,KRT,^RUT
1015,KRTX,^RUT
1016,KRUS,^RUT
1017,KRYS,^RUT
1018,KTB,^RUT
1019,KTOS,^RUT
1020,KURA,^RUT
1021,KW,^RUT
1022,KWR,^RUT
1023,KYMR,^RUT
1024,KZR,^RUT
1025,LADR,^RUT
1026,LANC,^RUT
1027,LAND,^RUT
1028,LASR,^RUT
1029,LAUR,^RUT
1030,LAW,^RUT
1031,LAZR,^RUT
1032,LBAI,^RUT
1033,LBC,^RUT
1034,LBRT,^RUT
1035,LC,^RUT
1036,LCII,^RUT
1037,LCUT,^RUT
1038,LE,^RUT
1039,LEGH,^RUT
1040,LEU,^RUT
1041,LFG,^RUT
1042,LFST,^RUT
1043,LGF.A,^RUT
1044,LGF.B,^RUT
1045,LGIH,^RUT
1046,LGND,^RUT
1047,LHCG,^RUT
1048,LICY,^RUT
1049,LIDR,^RUT
1050,LILA,^RUT
1051,LILAK,^RUT
1052,LIND,^RUT
1053,LIVN,^RUT
1054,LKFN,^RUT
1055,LL,^RUT
1056,LLAP,^RUT
1057,LMAT,^RUT
1058,LMND,^RUT
1059,LNDC,^RUT
1060,LNN,^RUT
1061,LNTH,^RUT
1062,LNW,^RUT
1063,LOB,^RUT
1064,LOCL,^RUT
1065,LOCO,^RUT
1066,LOVE,^RUT
1067,LPG,^RUT
1068,LPI,^RUT
1069,LPRO,^RUT
1070,LPSN,^RUT
1071,LQDA,^RUT
1072,LQDT,^RUT
1073,LRN,^RUT
1074,LSEA,^RUT
1075,LTC,^RUT
1076,LTCH,^RUT
1077,LTH,^RUT
1078,LTHM,^RUT
1079,LUNG,^RUT
1080,LVLU,^RUT
1081,LWLG,^RUT
1082,LXFR,^RUT
1083,LXP,^RUT
1084,LXRX,^RUT
1085,LXU,^RUT
1086,LYEL,^RUT
1087,LYLT,^RUT
1088,LZ,^RUT
1089,LZB,^RUT
1090,MAC,^RUT
1091,MANT,^RUT
1092,MAPS,^RUT
1093,MARA,^RUT
1094,MASS,^RUT
1095,MATV,^RUT
1096,MATW,^RUT
1097,MATX,^RUT
1098,MAX,^RUT
1099,MAXR,^RUT
1100,MBI,^RUT
1101,MBIN,^RUT
1102,MBUU,^RUT
1103,MBWM,^RUT
1104,MC,^RUT
1105,MCB,^RUT
1106,MCBC,^RUT
1107,MCBS,^RUT
1108,MCFT,^RUT
1109,MCRB,^RUT
1110,MCRI,^RUT
1111,MCS,^RUT
1112,MCY,^RUT
1113,MD,^RUT
1114,MDC,^RUT
1115,MDGL,^RUT
1116,MDRX,^RUT
1117,MDXG,^RUT
1118,ME,^RUT
1119,MED,^RUT
1120,MEDP,^RUT
1121,MEG,^RUT
1122,MEI,^RUT
1123,METC,^RUT
1124,MFA,^RUT
1125,MGEE,^RUT
1126,MGI,^RUT
1127,MGNI,^RUT
1128,MGNX,^RUT
1129,MGPI,^RUT
1130,MGRC,^RUT
1131,MGTX,^RUT
1132,MGY,^RUT
1133,MHO,^RUT
1134,MIR,^RUT
